Age,SibSp,Parch,Fare,Pclass_X2,Pclass_X3,Sex_male,Embarked_Q,Embarked_S,BIAS,row_id
22,1,0,7.25,0,1,1,0,1,0,1
38,1,0,71.2833,0,0,0,0,0,0,2
35,1,0,53.1,0,0,0,0,1,0,3
14,1,0,30.0708,1,0,0,0,0,0,4
2,4,1,29.125,0,1,1,1,0,0,5
27.415930487859754,0,0,7.8958,0,1,1,0,1,0,6
33.93626199916368,1,0,146.5208,0,0,0,0,0,0,7
66,0,0,10.5,1,0,1,0,1,0,8
28.38539933724613,0,0,7.75,0,1,0,1,0,0,9
18,1,0,17.8,0,1,0,0,1,0,10
21,0,0,10.5,1,0,0,0,1,0,11
28.5,0,0,7.2292,0,1,1,0,0,0,12
38,0,0,80,0,0,0,NA,NA,0,13
45,1,0,83.475,0,0,1,0,1,0,14
29,0,0,10.5,1,0,0,0,1,0,15
25,0,0,7.65,0,1,1,0,1,0,16
27.415930487859754,0,0,8.05,0,1,1,0,1,0,17
30,0,0,12.475,0,1,0,0,1,0,18
17,0,0,10.5,1,0,0,0,1,0,19
33,3,0,15.85,0,1,0,0,1,0,20
16,1,3,34.375,0,1,1,0,1,0,21
23,3,2,263,0,0,0,0,1,0,22
59,0,0,7.25,0,1,1,0,1,0,23
71,0,0,34.6542,0,0,1,0,0,0,24
28,0,0,7.8958,0,1,0,0,1,0,25
21,0,1,77.2875,0,0,1,0,1,0,26
28,0,0,7.8958,0,1,1,0,1,0,27
14.5,1,0,14.4542,0,1,0,0,0,0,28
32.5,1,0,30.0708,1,0,1,0,0,0,29
24,0,0,7.1417,0,1,1,0,1,0,30
22,0,0,7.75,0,1,0,0,1,0,31
9,2,2,34.375,0,1,0,0,1,0,32
22,1,0,66.6,0,0,0,0,1,0,33
55.5,0,0,8.05,0,1,1,0,1,0,34
28.274919586434024,0,0,7.3125,0,1,1,0,1,0,35
1,4,1,39.6875,0,1,1,0,1,0,36
9,0,2,20.525,0,1,1,0,1,0,37
9,4,2,31.3875,0,1,1,0,1,0,38
26.442787290371484,1,0,15.5,0,1,0,1,0,0,39
24,0,0,13,1,0,0,0,1,0,40
9.466449091690588,8,2,69.55,0,1,1,0,1,0,41
24,0,0,7.05,0,1,1,0,1,0,42
30,0,0,13,1,0,1,0,1,0,43
9.466449091690588,3,1,25.4667,0,1,0,0,1,0,44
5,4,2,31.3875,0,1,0,0,1,0,45
33,0,0,12.275,1,0,1,0,1,0,46
26.442787290371484,1,0,15.5,0,1,0,1,0,0,47
44,2,0,90,0,0,1,1,0,0,48
37,1,1,52.5542,0,0,1,0,1,0,49
52,1,1,79.65,0,0,1,0,1,0,50
25,0,0,0,0,1,1,0,1,0,51
7,4,1,29.125,0,1,1,1,0,0,52
35,1,1,20.25,0,1,0,0,1,0,53
28,0,0,7.8542,0,1,1,0,1,0,54
16,0,0,9.5,0,1,1,0,1,0,55
42,0,0,13,1,0,1,0,1,0,56
22,0,0,7.75,0,1,0,1,0,0,57
36,0,0,12.875,1,0,1,0,0,0,58
42.71629549906002,0,0,27.7208,0,0,1,0,0,0,59
42.71629549906002,0,0,30.5,0,0,1,0,1,0,60
19,0,0,0,0,1,1,0,1,0,61
18,2,2,262.375,0,0,0,0,0,0,62
27,0,0,7.8958,0,1,1,0,1,0,63
22,1,1,29,1,0,0,0,1,0,64
27.415930487859754,0,0,7.8958,0,1,1,0,1,0,65
15,1,1,7.2292,0,1,1,0,0,0,66
25.893228203026325,0,0,7.8792,0,1,0,1,0,0,67
28.38539933724613,0,0,7.75,0,1,0,1,0,0,68
25,1,0,55.4417,0,0,1,0,0,0,69
27,0,2,211.5,0,0,1,0,0,0,70
19,0,0,7.775,0,1,1,0,1,0,71
1,0,2,15.7417,0,1,0,0,0,0,72
35,1,0,52,0,0,0,0,1,0,73
31,0,0,7.8542,0,1,0,0,1,0,74
46,0,0,26,1,0,1,0,1,0,75
28,0,0,12.65,1,0,0,0,1,0,76
28,1,0,15.85,0,1,1,0,1,0,77
34,1,0,21,1,0,1,0,1,0,78
3,1,1,18.75,1,0,1,0,1,0,79
9.466449091690588,3,1,25.4667,0,1,0,0,1,0,80
35.11828543744781,0,0,0,1,0,1,0,1,0,81
35.45871259652999,0,0,7.75,0,1,1,1,0,0,82
32,0,0,8.05,0,1,1,0,1,0,83
50,1,0,55.9,0,0,1,0,1,0,84
14,1,2,120,0,0,0,0,1,0,85
64,1,4,263,0,0,1,0,1,0,86
45,1,1,26.25,1,0,0,0,1,0,87
25,1,0,7.775,0,1,1,0,1,0,88
27.13263604722832,0,0,8.1125,0,1,1,0,1,0,89
27.415930487859754,0,0,8.05,0,1,1,0,1,0,90
65,0,0,26.55,0,0,1,0,1,0,91
38,0,0,8.6625,0,1,1,0,1,0,92
9,1,1,15.9,0,1,1,0,1,0,93
21,0,0,7.25,0,1,1,0,1,0,94
21,0,0,8.05,0,1,1,0,1,0,95
27.002279041454898,0,0,15.1,0,1,1,0,1,0,96
37,0,0,9.5875,0,1,0,0,1,0,97
16,0,0,86.5,0,0,0,0,1,0,98
29,0,0,7.75,0,1,1,1,0,0,99
32,0,0,7.8958,0,1,1,0,1,0,100
50,0,0,10.5,1,0,0,0,1,0,101
23,2,1,11.5,1,0,1,0,1,0,102
45,0,0,26.55,0,0,1,0,1,0,103
11,4,2,31.275,0,1,0,0,1,0,104
50,1,0,106.425,0,0,1,0,0,0,105
17,0,2,110.8833,0,0,1,0,0,0,106
22,0,0,7.225,0,1,1,0,0,0,107
62,0,0,26.55,0,0,1,0,1,0,108
40,0,0,7.8958,0,1,1,0,1,0,109
24,2,0,24.15,0,1,1,0,1,0,110
28.38539933724613,0,0,7.75,0,1,0,1,0,0,111
35,0,0,7.125,0,1,1,0,1,0,112
35,0,0,26.55,0,0,1,0,0,0,113
28.92216970331107,0,0,7.05,0,1,1,0,1,0,114
4,2,1,39,1,0,0,0,1,0,115
61,0,0,32.3208,0,0,1,0,1,0,116
26,0,0,7.8958,0,1,1,0,1,0,117
80,0,0,30,0,0,1,0,1,0,118
32,0,0,30.5,0,0,1,0,0,0,119
31,1,1,26.25,1,0,1,0,1,0,120
2,3,2,27.9,0,1,0,0,1,0,121
27.463352866958253,0,0,56.4958,0,1,1,0,1,0,122
56,0,0,35.5,0,0,1,0,0,0,123
27.415930487859754,0,0,7.8958,0,1,1,0,1,0,124
18,0,1,23,1,0,0,0,1,0,125
27.415930487859754,0,0,7.8958,0,1,1,0,1,0,126
32,1,1,15.5,0,1,0,1,0,0,127
23,0,0,13,1,0,1,0,1,0,128
50,2,0,133.65,0,0,1,0,1,0,129
47,0,0,25.5875,0,0,1,0,1,0,130
20,1,0,7.925,0,1,1,0,1,0,131
32,2,0,73.5,1,0,1,0,1,0,132
25,0,0,13,1,0,1,0,1,0,133
35.11828543744781,0,0,0,1,0,1,0,1,0,134
36,0,1,512.3292,0,0,1,0,0,0,135
18,0,0,7.7958,0,1,1,0,1,0,136
4,0,1,13.4167,0,1,0,0,0,0,137
26,1,0,7.8542,0,1,1,0,1,0,138
24,0,0,49.5042,0,0,0,0,0,0,139
19,0,0,7.65,0,1,1,0,1,0,140
33,0,0,7.775,0,1,1,0,1,0,141
6,0,1,33,1,0,0,0,1,0,142
30,3,0,21,1,0,0,0,1,0,143
35.11828543744781,0,0,0,1,0,1,0,1,0,144
35,0,0,512.3292,0,0,1,0,0,0,145
27.415930487859754,0,0,7.8958,0,1,1,0,1,0,146
27.415930487859754,0,0,7.8958,0,1,1,0,1,0,147
16,1,1,20.25,0,1,1,0,1,0,148
19,1,0,53.1,0,0,1,0,1,0,149
31,0,0,7.75,0,1,1,1,0,0,150
48,1,2,65,1,0,0,0,1,0,151
34,0,0,8.05,0,1,1,0,1,0,152
51,1,0,77.9583,0,0,0,0,1,0,153
48,0,0,7.8542,0,1,1,0,1,0,154
54,1,3,23,1,0,0,0,1,0,155
25,0,0,7.05,0,1,1,0,1,0,156
9.466449091690588,8,2,69.55,0,1,0,0,1,0,157
34,0,0,13,1,0,1,0,1,0,158
27,0,0,6.975,0,1,1,0,1,0,159
31,0,0,7.775,0,1,1,0,1,0,160
18,0,0,7.775,0,1,0,0,1,0,161
23,0,0,7.925,0,1,0,0,1,0,162
31,1,1,37.0042,1,0,1,0,0,0,163
2,4,1,39.6875,0,1,1,0,1,0,164
27.463352866958253,0,0,56.4958,0,1,1,0,1,0,165
1,0,2,37.0042,1,0,1,0,0,0,166
62,0,0,80,0,0,0,NA,NA,0,167
23,0,0,7.8542,0,1,1,0,1,0,168
28,0,1,33,1,0,1,0,1,0,169
44,1,0,26,1,0,0,0,1,0,170
48,0,0,25.9292,0,0,0,0,1,0,171
9.466449091690588,8,2,69.55,0,1,0,0,1,0,172
42,0,0,13,1,0,0,0,1,0,173
33,0,0,5,0,0,1,0,1,0,174
47,0,0,9,0,1,1,0,1,0,175
19,0,0,7.8958,0,1,1,0,1,0,176
28,0,0,10.5,1,0,1,0,1,0,177
