Epoch,Iteration,learning_rate,num_leaves,max_depth,min_data_in_leaf,feature_fraction,bagging_fraction,lambda_l1,lambda_l2,gpUtility,acqOptimum,inBounds,Elapsed,Score,Pred,errorMessage
0,1,0.22431066396366803,36.44321743026376,6.618115510372444,7.48062737530563,0.504213876160793,0.9213233149843291,0.1689918605145067,0.8099640587344765,NA,FALSE,TRUE,1.0500000000000003,-608.0231760058581,0,NA
0,2,0.19234967086534013,26.637788120657206,7.960258384118788,14.340195947792381,0.7192953587858938,0.9530024168081581,0.9514157372061163,0.7482923875097185,NA,FALSE,TRUE,1.0000000000000004,-587.7875984684285,0,NA
0,3,0.09963134297658689,32.649582052603364,9.902847486990503,36.6021500506904,0.9562447913573123,0.805741626850795,0.8514923015609384,0.9650128671433776,NA,FALSE,TRUE,1.4100000000000006,-590.6618429011281,0,NA
0,4,0.1353389832167886,79.7607390023768,4.067353421426378,20.809577875188552,0.7790777110843919,0.524137844867073,0.4545514354016632,0.692132977838628,NA,FALSE,TRUE,1.33,-617.6148645867254,0,NA
0,5,0.17698983326437884,86.92011296004057,3.4597676126984878,12.338267682353035,0.5620074804057367,0.7489586791954934,0.04474573300685734,0.2362601807108149,NA,FALSE,TRUE,0.9199999999999999,-628.2498722566263,0,NA
0,6,0.01302797495899722,46.240997018292546,7.360663560964167,47.38447230949532,0.9360943944309839,0.8905758393462747,0.5083884840365499,0.585513499006629,NA,FALSE,TRUE,8.47,-589.0519535103987,0,NA
0,7,0.2625980577254668,64.79772683978081,5.6048582219984375,31.456696753273718,0.6572964345337823,0.6271456408547238,0.2930133691756055,0.33009061515331267,NA,FALSE,TRUE,0.9100000000000001,-621.9756125102275,0,NA
0,8,0.09602784412517211,58.548556903377175,8.943525276496075,23.48594182857778,0.8576419385150075,0.6536183543503284,0.6016448186244816,0.44656624251510946,NA,FALSE,TRUE,2.6600000000000006,-622.1227747713207,0,NA
0,9,0.0448432455600705,68.78265824355185,6.475678914738818,36.41125413379632,0.61296113351127135,0.5733242623042315,0.3414092399412766,0.01427306649275124,NA,FALSE,TRUE,3.49,-600.4609110632567,0,NA
0,10,0.27414617098006416,99.70951620861888,5.034859736333601,42.19234984088689,0.8388943130034022,0.766995282296557,0.7226976093370467,0.180771899363026,NA,FALSE,TRUE,0.7400000000000002,-616.2362894148982,0,NA
1,11,0.01,20,10,50,1,0.9847080371869865,1,0.903350558929969,0.6595214025091793,TRUE,TRUE,6.860000000000003,-590.5708951379822,0,NA
1,12,0.015417549790831929,30.675710605626623,10,50,1,1,1,0.8724638346548308,0.6575880724866856,FALSE,TRUE,6.310000000000002,-585.7385626555817,0,NA
1,13,0.021098523734167027,20.58707684544197,9.607111753545087,50,0.9579714912225419,0.9767468585019274,0.8653663677064383,0.8425004956276457,0.6355725735528395,FALSE,TRUE,5.120000000000001,-582.9008373197142,0,NA
1,14,0.01,28.92466737381465,10,49.78752795793185,0.9946921916701412,1,1,0.8744330800540616,0.6571976121589516,FALSE,TRUE,6.73,-591.0199450848816,0,NA
1,15,0.03028463512332158,20,9.805142220421256,50,1,0.9588002330265212,0.9384720264477504,0.9335950770165201,0.64919820533364625,FALSE,TRUE,3.6099999999999994,-586.6117789554438,0,NA
2,16,0.02067257255620427,25.7497241173801,10,50,1,0.5,0,0,0.4192544631997275,TRUE,TRUE,5.390000000000001,-602.6436586804888,0,NA
2,17,0.01555890250306128,29.448916148134337,9.998515695443476,46.70637796102312,0.9758504459351971,0.5099247294015887,0.04897456174002719,0,0.3742910923246623,FALSE,TRUE,7.039999999999999,-609.1364557558418,0,NA
2,18,0.02360731359164505,28.858295509354406,10,50,0.9459311761596709,0.5,0,0,0.41155135834321666,FALSE,TRUE,6.170000000000002,-604.1600438826098,0,NA
2,19,0.01,30.507978105354724,9.987892826274974,45.87667190453079,1,0.526465698217902,0.017217421452907482,0,0.3119976171180008,FALSE,TRUE,7.670000000000002,-613.7930012900053,0,NA
2,20,0.013765237602511766,25.573524965971252,10,50,1,0.5164881674037684,0,0,0.38320996613673364,FALSE,TRUE,6.75,-602.704580514134,0,NA
3,21,0.14606237715665366,20.72942560797273,8.617465874915863,35.30811093331083,0.8714191025943381,0.9342371680464261,0.9272312870342434,0.9025319640461237,0.5120177092547371,TRUE,TRUE,0.970000000000006,-583.9279996883585,0,NA
3,22,0.14594429868396724,21.754737033774806,8.701858607863462,31.892958294345142,0.8480708509041288,0.9606104888686529,0.9215137625763771,0.886986799671093,0.5075907773665822,FALSE,TRUE,0.8000000000000043,-596.204403678917,0,NA
3,23,0.11626298176041212,23.36382767593976,8.591172821948485,34.416914090603115,0.8202056140813847,0.9481535840477864,0.8919587724281626,0.9759506052457813,0.49010262894887524,FALSE,TRUE,1.0500000000000043,-591.1269383732231,0,NA
3,24,0.15721924469700152,21.13765514621502,8.1512266503579,33.17313245575746,0.8554958397883068,0.9517561119184343,0.8503852375190748,0.909605032580851,0.4831513597647583,FALSE,TRUE,0.8300000000000054,-596.7781718502325,0,NA
3,25,0.14629365403504352,20.067764903570875,9.026608482069683,33.39852643293004,0.8589037273093854,0.9191560414535596,0.9711501218138928,0.9384313125681583,0.4955875227888935,FALSE,TRUE,0.8999999999999986,-589.7056886997386,0,NA
4,26,0.18913450822789532,36.75667456941471,8.79749043392377,50,0.8815139459850078,0.8561757446951617,0.7591276720921506,0.7354161001693273,0.6620280994221415,TRUE,TRUE,0.9600000000000009,-597.026122306737,0,NA
4,27,0.17538208582380027,36.926047711031885,9.104346838595447,50,0.9076236177927275,0.8403146425914991,0.7832189002539869,0.7281899893415802,0.6607749804969791,FALSE,TRUE,0.8800000000000026,-598.5824958510791,0,NA
4,28,0.20245550628128492,34.73932666425641,8.844145429745529,49.0689620637152,0.8592077568289582,0.855344446961928,0.7810010813797754,0.6405766807330009,0.6449528345005566,FALSE,TRUE,0.8800000000000026,-595.7012476849674,0,NA
4,29,0.19701046459276167,34.86510307897893,8.521142158878776,50,0.9107641053128893,0.8686772269485232,0.740168862585562,0.7428435436062973,0.6548133706351593,FALSE,TRUE,0.7700000000000031,-600.9905048351841,0,NA
4,30,0.1772774996484775,29.64789803829555,8.964167344591605,49.00167005869438,0.8942528336283052,0.8485189169701435,0.7919866009581339,0.7750244445035072,0.4767658603850464,FALSE,TRUE,0.9799999999999969,-597.5692781428338,0,NA
